,Name,Country,Address,Sector,Owner_operator,Solar thermal engineering company,Integrator company,Year,Collector technology,Collector name,Gross area,Total aperture area,Thermal power,heat transfer fluid,Energy storage,Storage volume,Conventional heat source,Fuel used,Use,Unit operation,Point of integration,Temperature range process,Temperature range solar loop (min/max),Total investment costs,Subsidy,System life time,Specific investment costs,Solar fraction,Contact,E-mail,Homepage,Sector grouped
253,RAM Pharma,Jordan,"King abhullah II Industrial City, Sahab, 11512 Amman, Jordan",C21 - Manufacture of basic pharmaceutical products and pharmaceutical preparations,RAM Pharmaceutical Industries Co. Ltd.,industrial solar gmbh,industrial solar gmbh,2015-01-01,fresnel collector,LF-11,550.0,396.0,222.0,steam,steam accumulation tank,2.0,steam boiler,fuel oil,pharmaceutical production process,general process heating,A2b) Heating of supply line,160-165°C,204°C,1.0,,,0.0,,Industrial Solar GmbH,info@industrial-solar.de,http://www.industrial-solar.de,C21 - Manufacture of basic pharmaceutical products and pharmaceutical preparations
254,Rainbow Industries,India,"MIDC, Aurangabad, Maharashtra 431005, Indien",S - Other services activities,Rainbow Industries,ate enterprises,ate enterprises,2015-01-01,various collector,,25.0,25.0,17.5,,,,,Other,steam ironing in laundry,Cleaning,B1) Heating of process(es) / process vessel(s),,,9240.0,3960,,369.6,,CSH India,contact@cshindia.in,http://www.cshindia.in,S - Other services activities
255,Rastro Garibay,México,"Etzatlan, Jalisco, Mexico",C10.1 - Processing and preserving of meat and production of meat products,,inventive power sapi de cv,inventive power sapi de cv,2015-01-01,parabolic trough collector,Power Trough 110,132.0,132.0,43.38,Water,Short-term water storage,3.1,Steam boiler,Other,"scalding, hair removal and livestock washing",other process heating,A2b) Heating of supply line,18/95,,44145.0,Firco Subsidies,,334.43,,,,,C10 - Manufacture of food products
256,Rockland County,United States,"20-420 Torne Valley Rd, Hillburn, NY",E - Water supply; sewerage; waste managment and remediation activities,Rockland County Solid Waste Management Authority,solarwall®,solarwall®,2006-01-01,air collector,Solarwall® Collectors,743.0,,520.1,Air,,1.0,,Fuel oil,drying of waste (cocomposting),Drying,B1) Heating of process(es) / process vessel(s),,,1.0,No subsidies,,0.0,,Solarwall,jhollick@solarwall.com,,E - Water supply; sewerage; waste managment and remediation activities
257,Ruyi Textile,China,"72 Guanghe Rd, Shandong, China",C13 - Manufacture of textiles,Himin Solar Co Ltd,himin solar co ltd,nan,2015-01-01,evacuated tube collector,Himin,9903.0,,6932.1,water,short-term water storage,,other,other,solar heat for the dyeing process at 60 °c as well as for the workers’ showers,other process heating,B2) Heating of process medium (please specify),60,,1699962.0,no subsidies,,171.66,,,Wolfgang Glatzl,w.glatzl@aee.at,C13 - Manufacture of textiles
258,Sadesa Leather,Thailand,Sena,C15 - Manufacture of leather and related products,Sadesa Leather,aschoff solar,aschoff solar,2011-01-01,evacuated tube collector,,540.0,,378.0,Water,Short-term water storage,35.0,,,solar heat for retanningprocess,Retanning,C) Other integration points,,,100000.0,No subsidies,0,185.19,,Aschoff-Solar,o.mumper@aschoff-solar.com,http://www.aschoff-solar.com/,C15 - Manufacture of leather and related products
259,Saigon Tantec,Vietnam,Saigon,C15 - Manufacture of leather and related products,Saigon Tantec,aschoff solar,aschoff solar,2009-01-01,evacuated tube collector,,1000.0,,700.0,Water,Short-term water storage,70.0,,,solar heat for retanningprocess,Retanning,B2) Heating of process medium,70 °C for retanning,,200000.0,No subsidies,0,200.0,,Aschoff-Solar,o.mumper@aschoff-solar.com,http://www.aschoff-solar.com/,C15 - Manufacture of leather and related products
260,Saitex Jeans,Vietnam,Saigon,C14 - Manufacture of wearing apparel,Saitex Jeans,aschoff solar,aschoff solar,2012-01-01,evacuated tube collector,,705.0,420.0,493.5,Water,Short-term water storage,20.0,,,solar heat for jeans washing process,Bleaching,C) Other integration points,,,75000.0,No subsidies,0,106.38,,Aschoff-Solar,o.mumper@aschoff-solar.com,http://www.aschoff-solar.com/,C14 - Manufacture of wearing apparel
261,Salem District Cooperative Milk Producers Union,India,Salem,C10.5 - Manufacture of dairy products,Salem District Cooperative Milk Producers Union,clique solar,clique solar,2014-01-01,various collector,,338.0,338.0,236.6,,,,Steam boiler,,heating of boiler feed water,General process heating,A2a) Heating of return line,95,,93350.0,39970,,276.18,,CSH India,contact@cshindia.in,http://www.cshindia.in,C10 - Manufacture of food products
262,San Pablo Villa Tortilla dough factory,México,"Veracruz Nte. 83, Villa Milpa Alta, 12000, Ciudad de México, CdMx",C10 - Manufacture of food products,San Pablo Villa,modulo solar,modulo solar,2018-01-01,flat plate collector,MS 2.5 BLUE,70.0,63.0,49.0,Water,Short-term water storage,5.0,Hot water boiler,Fuel oil,preheat of hot water,Cooking,B1) Heating of process(es) / process vessel(s),70-85,70-90,20650.0,No Subsidies,25,295.0,75,,,,C10 - Manufacture of food products
263,Sana Internacional,México,"Miguel de La Madrid SN, Parque Industrial, 83457 San Luis Río Colorado, Son.",C10 - Manufacture of food products,Sana Internacional SA de CV,modulo solar,modulo solar,2011-01-01,flat plate collector,HIPER TINOX,240.0,217.0,168.0,Water,Short-term water storage,7.5,Hot water boiler,Other,nan,general process heating,A1) Heating of make-up water,55-75,50-80,43000.0,No Subsidies,25,179.17,65,,,,C10 - Manufacture of food products
264,Santa Anita Dairy,México,"Gomez palacios,Durango",C10.5 - Manufacture of dairy products,Eestablo Santa Anita,modulo solar,modulo solar,2006-01-01,evacuated tube collector,SPO-1500,68.0,55.0,47.0,Water,Short-term water storage,3.5,Hot water boiler,Fuel oil,nan,Cleaning,A1) Heating of make-up water,60-70,50-80,27000.0,No Subsidies,,397.06,72,,,,C10 - Manufacture of food products
265,Sarantis S.A.,Greece,Inofita Viotias,C21 - Manufacture of basic pharmaceutical products and pharmaceutical preparations,Sarantis S.A.,sole sa,sole sa,1999-01-01,flat plate collector,,2700.0,,1890.0,,,66.0,,,warehouse cooling,cooling of production halls,C) Other integration points (please specify),1945-07-01 00:00:00,,1306800.0,no subsidies,0,484.0,,,Miriam Martinez,miriam@sole.gr,C21 - Manufacture of basic pharmaceutical products and pharmaceutical preparations
266,Schiffer GmbH & Co KG,Germany,Menden,C24 - Manufacture of basic metals,Schiffer GmbH & Co KG,sotecsolar,sotecsolar,2003-01-01,evacuated tube collector,,100.0,,70.0,,,1.5,,,unit operation,Hot water for Galvanic Baths,other process heating,40 - 70,30 - 70,55000.0,no subsidies,0,550.0,,,IEA - Task 49,info@sotec-solar.de.,C24 - Manufacture of basic metals
267,Seniora Food Industries,Jordan,Sahab,C10 - Manufacture of food products,Seniora Food Industries,mei,mei,2010-01-01,evacuated tube collector,,120.0,,84.0,,,6.0,,,hot water for degreasing and cleaning requirements,other process heating,C) Other integration points (please specify),,,1.0,no subsidies,0,0.01,,,,,C10 - Manufacture of food products
268,SFL technologies,Austria,"Innovationspark 2, 8152 Stallhofen",C28 - Manufacture of machinery and equipment n.e.c.,SFL technologies GmbH,sfl technologies gmbh,nan,2014-01-01,flat plate collector,,255.0,,178.5,,other,15.5,,,heating&warm water,general process heating,different integration points (see remarks),,,1.0,not known,,0.0,,,Emi Brunner,office@aee.at,C28 - Manufacture of machinery and equipment n.e.c.
269,"SFL Technologies, Stallhofen",Austria,"Innovationspark 2, 8152 Stallhofen",C28 - Manufacture of machinery and equipment n.e.c.,SFL technologies GmbH,nan,htraussnigg gmbh,2013-01-01,flat plate collector,,250.0,,175.0,,,,,,dearator with heat recovery,other process heating,different integration points (see remarks),,,1.0,no subsidies,0,0.0,,,Emilie Brunner,office@aee.at,C28 - Manufacture of machinery and equipment n.e.c.
270,Shandong Linuo Paradigma,China,"Jingshi East Road Jinan, Shandong Province,China",C - Manufacturing,"Linuo Paradigma Co.,Ltd","linuo paradigma co,ltd","linuo paradigma co,ltd",2011-01-01,evacuated tube collector,,5750.0,5750.0,4025.0,water,short-term water storage,60.0,,,steam boiler preheating,other process heating,A1) Heating of make-up water,10-30 to 90°C,,1000000.0,no information available,0,173.91,,,Wolfgang Glatzl,d.seidler@ritter-xl-solar.com,C - Manufacturing
271,Sharman Shawls,India,Punjab,C13 - Manufacture of textiles,Sharman Shawls,inter solar,nan,2015-01-01,flat plate collector,,360.0,,252.0,Water,Short-term water storage,8.0,Steam boiler,Fuel oil,"hot water requirements for dyeing, bleaching and washing garments",Bleaching,A1) Heating of make-up water,>100,60-80,40000.0,No information on subsidy,,111.11,5,Solrico,malaviya@solrico.com,www.intersolarsystems.com/,C13 - Manufacture of textiles
272,Siddharth Surgicals,India,"Valsad, Gujarat, India",C13 - Manufacture of textiles,Siddharth Surgicals,leveragenet solutions pvt ltd,leveragenet solutions pvt ltd,2014-01-01,parabolic trough collector,,263.0,263.0,184.1,,,,,,cleaning and bleaching,Cleaning,B1) Heating of process(es) / process vessel(s),110,,34544.0,28156,,131.35,,CSH India,contact@cshindia.in,,C13 - Manufacture of textiles
273,Siemens Technology & Services,India,Bangalore,J - Information and communication,Siemens Technology & Services,bps solar,bps solar,2007-01-01,various collector,Scheffler Dishes,192.0,192.0,134.4,,,,,,dish washing,Other process heating,C) Other integration points,,Not known,22042.21,"9446,6",,114.8,,CSH India,contact@cshindia.in,http://www.cshindia.in/installedprojects.html,J - Information and communication
274,"SILAMPOS, S. A.",Portugal,"Rua Central das Cortinhas 301, 3700-906 Cesar","C25 - Manufacture of fabricated metal products, except machinery and equipment","SILAMPOS, S. A.",rackam,inegi,2014-01-01,parabolic trough collector,ICARUS HEAT,450.0,108.0,67.0,thermo-oil,no solar energy storage,,other,natural gas,process wash and drying finished product,drying,B1) Heating of process(es) / process vessel(s),50ºC and 160 ºC,180,100000.0,no subsidies,,222.22,,,,,"C25 - Manufacture of fabricated metal products, except machinery and equipment"
275,Simoa S.A.,Portugal,Portugal,C10 - Manufacture of food products,Simoa S.A.,nan,nan,,flat plate collector,,670.0,,469.0,,,,,,heating of process air,general process heating,C) Other integration points (please specify),30,,1.0,no subsidies,0,0.0,,,,,C10 - Manufacture of food products
276,SKF Technologies Mysore,India,"Mysore, India","C25 - Manufacture of fabricated metal products, except machinery and equipment",SKF Mysore,thermax,thermax,2012-01-01,parabolic trough collector,SolPac P60s,400.0,256.4,72.0,Water,,,,,heat the water for circulation through the treatment tanks in the phosphating plant,Surface treatment,B1) Heating of process(es) / process vessel(s),95,130 (max. 210),74096.21,"18092,18",,185.24,,CSH India,contact@cshindia.in,,"C25 - Manufacture of fabricated metal products, except machinery and equipment"
277,SODESA Project,Spain,Pozo Izquierdo,E - Water supply; sewerage; waste managment and remediation activities,SODESA Project,nan,zae bayern,2000-01-01,flat plate collector,,48.0,,33.6,,,6.3,,,thermally driven desalination system,Other process heating,C) Other integration points,,20 - 95,1.0,No subsidies,0,0.02,,ZAE Bayern,info@muc.zae-bayern.de,,E - Water supply; sewerage; waste managment and remediation activities
278,Solar cooling for data center,South Africa,"MTN Innovation Center, 216, 14th Avenue, Johannesburg",J - Information and communication,REACH Renewable (Pty) Ltd.,industrial solar gmbh,nan,2014-01-01,fresnel collector,LF-11,678.0,484.0,272.0,water,,,,fuel oil,cooling of data center for a telecommunication company,cooling processes,B2) Heating of process medium,7°C/12°C,180°C,1.0,,,0.0,,Industrial Solar GmbH,info@industrial-solar.de,http://www.industrial-solar.de,J - Information and communication
279,Solar cooling for stainless steel pipe industry,Germany,"Im Gewerbegebiet 7, 77855, Achem, Germany","C25 - Manufacture of fabricated metal products, except machinery and equipment",Fischer Rohrtechnik GmbH,industrial solar gmbh,delegated by customer,2013-01-01,fresnel collector,LF-11,678.0,484.0,272.0,water,short-term water storage,42.0,,,cooling process of stainless steel pipes and office builiding,cooling processes,B1) Heating of process(es) / process vessel(s),6°C /32°C,200°C,1.0,,,0.0,,Industrial Solar GmbH,info@industrial-solar.de,http://www.industrial-solar.de,"C25 - Manufacture of fabricated metal products, except machinery and equipment"
280,Solar refrigeration in the food industry,Germany,"Stöckmatten 2, 79224 Umkirch",C32 - Other manufacturing,Kramer GmbH,industrial solar gmbh,fraunhofer institute for solar energy,2012-01-01,fresnel collector,LF-11,123.0,88.0,49.0,water,other,,,,refrigeration of cold storage room,cooling processes,B1) Heating of process(es) / process vessel(s),-5°C/-10°C,200°C,1.0,,,0.01,,Industrial Solar GmbH,info@industrial-solar.de,http://www.industrial-solar.de,C32 - Other manufacturing
281,Solar Grid SFL,Austria,SFL technologies GmbH Innovationspark 2 8152 Stallhofen,C28 - Manufacture of machinery and equipment n.e.c.,SFL technologies GmbH,sfl technologies gmbh,nan,2013-01-01,flat plate collector,,255.0,,178.5,,,,,,"electricity, heating & warm water",general process heating,different integration points (see remarks),,,142296.0,1,,558.02,,,Emilie Brunner,office@aee.at,C28 - Manufacture of machinery and equipment n.e.c.
282,Solar Pasteurization (Lechera Guadalajara Sello Rojo),México,"Guadalajara, Jalisco",C10.5 - Manufacture of dairy products,Lechera Guadalajara (SELLO ROJO),inventive power sapi de cv,inventive power sapi de cv,2015-01-01,parabolic trough collector,Power Trough 110,430.0,430.0,240.0,Water,Short-term water storage,50.0,Steam boiler,Natural gas,pasteurization,Pasteurization,B2) Heating of process medium (please specify),85,70/95,160000.0,,25,372.09,40,,,,C10 - Manufacture of food products
283,Solar Process Heat for Car Paintshop,Germany,"Carl-Benz-Stra e 34, Bietigheim-Bissingen, Germany","C29 - Manufacture of motor vehicles, trailers and semi-trailers",Dürr Systems GmbH,industrial solar,delegated by customer,2012-01-01,fresnel collector,LF-11,185.0,132.0,66.0,water,,,other,Natural gas,drying of paint coat in automobile industry,painting,A2a) Heating of return line,200/220°C,180°C,1.0,,,0.01,,Industrial Solar GmbH,info@industrial-solar.de,http://www.industrial-solar.de,"C29 - Manufacture of motor vehicles, trailers and semi-trailers"
284,Solar steam boiler for Procter & Gamble (Tianjin),China,"Xiqin, Tianjin, China",C20 - Manufacture of chemicals and chemical products,Procter & Gamble (Tianjin),"vicot solar technology co, ltd","vicot solar technology co, ltd",2016-01-01,parabolic trough collector,,4600.0,2330.0,1050.0,thermo-oil,steam accumulation tank,,steam boiler,natural gas,steam generation,evaporation and distillation,A2b) Heating of supply line,130,160,574520.0,minor subsidies,20,124.9,,,Ouyang Cheng,oyc@vicot.com.cn,C20 - Manufacture of chemicals and chemical products
285,Sona Koyo,India,"No 14, Chennai Bangalore Highway Road Nh-4, Sriperumbudur, Kanchipuram - 602105",C - Manufacturing,Sona Koyo,aspiration energy,aspiration energy,2012-01-01,evacuated tube collector,,560.0,,210.0,Water,No solar energy storage,,Hot water boiler,Fuel oil,cleaning automobile parts before painting,Cleaning,A2b) Heating of supply line,,,68666.0,18200,,122.62,,Aspiration Energy,viji.suresh@aspirationenergy.com,www.aspirationenergy.com,C - Manufacturing
286,Sonoma County Herb Exchange,United States,"1720 Cooper Rd, Sebastopol, CA","A - Agriculture, forestry and fishing",Sonoma County Herb Exchange,solarwall®,solarwall®,2010-01-01,air collector,Solarwall® Collectors,10.0,,7.0,Air,No solar energy storage,1.0,,,drying of herbs,Drying,C) Other integration points,,,1.0,No subsidies,,0.1,,Solarwall,jhollick@solarwall.com,,"A - Agriculture, forestry and fishing"
287,Stadtreinigung Dresden GmbH,Germany,Dresden,S - Other services activities,Stadtreinigung Dresden GmbH,ufe solar,ingenieurbüro klug,1998-01-01,flat plate collector,,151.0,,105.7,,,10.0,,,car wash facility,cleaning,C) Other integration points (please specify),,,112193.0,no subsidies,0,743.0,,,IEA - Task 49,info@ufesolar.de,S - Other services activities
288,Stapleton-Spence Fruit Packing Co.,United States,"San Jose, California",C10.3 - Processing and preserving of fruit and vegetables,,fafco,nan,2012-01-01,unglazed collector,,2637.0,,1845.9,,Short-term water storage,50.0,,,rehydrate dried fruits,General process heating,A1) Heating of make-up water,,,650000.0,597598,20,246.49,,SEIA,kstainken@seia.org,,C10 - Manufacture of food products
289,Steinbach und Vollmann,Germany,Heiligenhaus,C24 - Manufacture of basic metals,Steinbach und Vollmann GmbH & Co KG,sotecsolar,sotecsolar,2008-01-01,evacuated tube collector,,400.0,,280.0,,,21.0,,,hot water for galvanic baths,other process heating,C) Other integration points (please specify),60 - 80,30 - 80,240000.0,no subsidies,0,600.0,,,IEA - Task 49,info@sotec-solar.de,C24 - Manufacture of basic metals
290,Sukarne Slaughterhouse,México,"Km. 14.5 Carretera Culiacán - Vitaruto, Culiacancito, 80300 Culiacan, SIN",C10.1 - Processing and preserving of meat and production of meat products,Sukarne Sa de CV,modulo solar,modulo solar,2009-01-01,evacuated tube collector,SPO-1500,195.0,155.0,136.0,Water,Short-term water storage,10.0,Steam boiler,Fuel oil,cleaning,Cleaning,A3) Heating of supply heat storage,70-80,60-90,75000.0,No Subsidies,,384.62,,,,,C10 - Manufacture of food products
291,Sukarne Slaughterhouse - Mexicali,México,"Carretera Tijuana km 6.30, Planta Progeso, 21610 Progreso, B.C.",C10.1 - Processing and preserving of meat and production of meat products,Sukarne Sa de CV,modulo solar,modulo solar,2009-01-01,flat plate collector,HIPER TINOX,100.0,92.0,70.0,Water,Short-term water storage,5.0,Hot water boiler,Natural gas,preheat of hot water,Cleaning,A1) Heating of make-up water,,,23800.0,No Subsidies,25,238.0,55,,,,C10 - Manufacture of food products
292,Sun Car Wash Mülheim,Germany,Mülheim,S - Other services activities,Sun Car Wash Mülheim,elcoklöckner,nan,1998-01-01,evacuated tube collector,,25.0,,17.5,,,1.0,,,car wash facility,cleaning,,30 - 45,20 - 60,16800.0,no subsidies,0,672.0,,,,,S - Other services activities
293,Sunil Health Care India,India,"Alwar, Rajasthan, India",C - Manufacturing,"Sunil Health Care, India","intersolar systems, chandigarh, india","intersolar systems, chandigarh, india",,flat plate collector,,147.0,,102.9,Water,Short-term water storage,6.5,Hot water boiler,Fuel oil,preparation of gel for capsule making,Other process heating,B2) Heating of process medium,,The solar heat is delivered at 75 °C to 85 °C.,39433.0,6600,,268.25,,Fraunhofer ISE,Annabell.Helmke@ise.fraunhofer.de,,C - Manufacturing
294,Sunsweet Dryers,United States,California,C10 - Manufacture of food products,Sunsweet Dryers,solarwall®,solarwall®,2004-01-01,air collector,,110.0,,77.0,,,1.0,,,prune drying,Drying,B1) Heating of process(es) / process vessel(s),Heating the ambient air by 10 to 15 degrees,,1.0,No subsidies,0,0.01,,Solarwall,jhollick@solarwall.com,,C10 - Manufacture of food products
295,Sunwash Gratwein,Austria,Gratwein,S - Other services activities,Sunwash - II,sonnen energie gmbh,viessmann,2002-01-01,flat plate collector,,43.0,,30.1,,,3.0,,,"car washing, floor heating",cleaning,C) Other integration points (please specify),"60 for the washing, 20 - 90 for the floor heating",20 - 90,15007.0,no subsidies,0,349.0,,,IEA - Task 49,info@sonnenenergie-gmbh.de,S - Other services activities
296,Sunwash Köflach,Austria,Köflach,S - Other services activities,Sunwash - I,sonnen energie gmbh,viessmann,2002-01-01,flat plate collector,,43.0,,30.1,water/glycol,,3.0,,,"car washing, floor heating",cleaning,C) Other integration points (please specify),"60 for the washing, 20 - 90 for the floor heating",20 - 90,15007.0,no subsidies,0,349.0,,,Wolfgang Glatzl,w.glatzl@aee.at,S - Other services activities
297,SURPRISE SHIP for sewage sludge drying,United States,"City of Surprise, Arizona, USA",E - Water supply; sewerage; waste managment and remediation activities,City of Surprise,rackam,rackam,2017-01-01,parabolic trough collector,Rack20 formely S20,151.0,,98.0,water/glycol,Short-term water storage,,heat recovery,fuel oil,drying sewage sludge,drying,B1) Heating of process(es) / process vessel(s),90-100,,58608.0,0,,388.13,,Rackam,joseanne.bg@rackam.com,rackam.com,E - Water supply; sewerage; waste managment and remediation activities
298,Sustentabilidad de Energía y Medio Ambiente S.A. de C.V.,México,"Distrito Federal, Mexico","M - Professional, scientific and technical activities",,inventive power sapi de cv,inventive power sapi de cv,2016-01-01,parabolic trough collector,Power Trough 110,62.7,62.7,27.11,Water,Short-term water storage,2.4,Hot water boiler,Other,generation of electricity from biogas,other process heating,B1) Heating of process(es) / process vessel(s),16/90,,22928.0,No Subsidies,,365.68,,,,,"M - Professional, scientific and technical activities"
299,Synthokem Labs,India,"SYNTHOKEM LABS PRIVATE LIMITED, Hyderabad, Telangana, Indien",C21 - Manufacture of basic pharmaceutical products and pharmaceutical preparations,Synthokem Labs Pvt Ltd,photon solar,nan,2009-01-01,evacuated tube collector,,288.0,,201.6,,Short-term water storage,10.0,Steam boiler,Fuel oil,preheating steam boiler feeding water for industrial processes,General process heating,A1) Heating of make-up water,,,8400.0,22% of total investment costs,,29.17,,AEE INTEC,w.glatzl@aee.at,http://www.soproindia.in/synthe-proj01.html,C21 - Manufacture of basic pharmaceutical products and pharmaceutical preparations
300,Tapi Foods,India,Mangarol,C10.3 - Processing and preserving of fruit and vegetables,Tapi Foods,gadhia solar energy systems,gadhia solar energy systems,2006-01-01,various collector,Scheffler Dishes,93.0,93.0,65.1,,,,,Biomass,preheating of boiler feed water,General process heating,A1) Heating of make-up water,,Not known,9184.26,"3936,11",,98.76,,CSH India,contact@cshindia.in,http://www.cshindia.in/installedprojects.html,C10 - Manufacture of food products
301,Telekom Rottweil,Germany,Rottweil,J - Information and communication,Telekom,"narva, spower","narva, spower",,evacuated tube collector,NARVA Vakuumröhren-Kollektoren,503.0,503.0,352.1,water,short-term water storage,20.0,,,space heating and cooling,heating of production halls,B1) Heating of process(es) / process vessel(s),,<95 °C,1.0,no information available,,0.0,,,Wolfgang Glatzl,w.glatzl@aee.at,J - Information and communication
302,TE-PE S.A.,Spain,Sevilla,C10 - Manufacture of food products,TE-PE S.A.,disol sa,disol sa,1997-01-01,flat plate collector,,260.0,,182.0,,,20.0,,,prehating of boiler feed water used for olive preparation,General process heating,C) Other integration points,40 - 130,50 - 60,98800.0,No subsidies,0,380.0,,Disol S.A.,info@disol.es,,C10 - Manufacture of food products
303,Test facility at the QSTP,Qatar,"Qatar Science and Technology Park, Doha, Qatar","M - Professional, scientific and technical activities",Chevron Qatar Energy Technology,industrial solar gmbh,grundfoss,2012-01-01,fresnel collector,LF-11,247.0,176.0,99.0,water,,,,,test facility at qatar science and technology park,other process heating,B2) Heating of process medium,,180,1.0,,,0.0,,Industrial Solar GmbH,info@industrial-solar.de,http://www.industrial-solar.de,"M - Professional, scientific and technical activities"
304,Tripou - Katsouris Leather Treatment Factory,Greece,Athens,C15 - Manufacture of leather and related products,Tripou - Katsouris Leather Treatment Factory,sole sa,nan,1993-01-01,flat plate collector,,300.0,,210.0,water,short-term water storage,15.0,,,leather treatment,retanning,A1) Heating of make-up water,48 - 84,35 - 81,36036.0,no subsidies,0,120.12,,,Miriam Martinez,miriam@sole.gr,C15 - Manufacture of leather and related products
305,TTK Prestige India,India,"TTK Prestige Ltd, SF NO 234/1, Pollachi Road, Myleripalayam Pirivu, Coimbatore 641032, Tamilnadu, India",C - Manufacturing,M/s. TTK Prestige Ltd,"m/s sun best, theni","m/s sun best, theni",2007-01-01,flat plate collector,,768.0,,537.6,Water,Other,32.0,Other,Other,hot water requirement in washing plant for degreasing of cooker vessels,Other process heating,B2) Heating of process medium,"For each unit there are two numbers of 2 KL insulated SS 304 solar water tanks and each tank connected to 24 solar panels for heating one 2000 liter water bath. The water in the solar panel is heated by thermo siphon effect. The first tank output is given as input to the second tank. Though it is a closed loop system to offset evaporation losses make up soft water line is connected to the first tank. There are two number of 1000 liter soft cold water tank fixed 10 feet above the solar collector. The solar hot water output taken to the lower end of heat exchanger (SS 316 L). The heat exchanger outlet is connected to a pump which is connected to the cold water inlet of the first 2 KL tank. There are two sensors - first one in the water bath and anther sensor in the solar insulated tank. Whenever the temperature goes below 55 Deg C, the pump will be start to push the water, so that hot water will flow through the heat exchanger. The hot water line fully insulated to avoid temperature losses.",,91930.0,30643 Subsidy availed from MNRE,15,119.7,85,SunBest,info@pen.net.in,www.sunbest.in,C - Manufacturing
306,Tyras S.A.,Greece,"Trikala, Central Greece",C10 - Manufacture of food products,Tyras S.A.,sol energy hellas sa,sol energy hellas sa,2001-01-01,flat plate collector,,1040.0,,728.0,water/glycol,short-term water storage,50.0,steam boiler,other,washing of cisterns and lorries,cleaning,C) Other integration points (please specify),20-80 °C operating temperature,,173000.0,no subsidies,0,166.35,80% in summer,,WG via Werner Weiß,w.glatzl@aee.at,C10 - Manufacture of food products
307,Ultramarine Pigments,India,Vellore,C20 - Manufacture of chemicals and chemical products,Ultramarine Pigments,megawatt solutions,megawatt solutions,2016-01-01,various collector,,570.0,570.0,399.0,Thermo-oil,,,Other,Other,drying of pigments,Drying,B2) Heating of process medium ,140,200,123684.0,67716,,216.99,,CSH India,contact@cshindia.in,http://www.cshindia.in,C20 - Manufacture of chemicals and chemical products
308,UNILEVER,México,"Jiutepec, Morelos, México",C32 - Other manufacturing,UNILEVER,citrus jmk sa de cv,citrus jmk sa de cv,2018-01-01,parabolic trough collector,Power Trough by Inventive Power,158.4,,110.88,,,5.0,Steam boiler,,process tank,Other process heating,B1) Heating of process(es) / process vessel(s),,,80000.0,No Subsidies,,505.05,,,,,C32 - Other manufacturing
309,Unique Biotech,India,Hyderabad,C21 - Manufacture of basic pharmaceutical products and pharmaceutical preparations,Unique Biotech,megawatt solutions,megawatt solutions,2015-01-01,various collector,Paraboloid Dishes,540.0,540.0,378.0,Thermo-oil,,,Steam boiler,Other,chemical reactors,Other process heating,C) Other integration points,95,180,171600.0,64152,,317.78,,CSH India,contact@cshindia.in,http://www.cshindia.in,C21 - Manufacture of basic pharmaceutical products and pharmaceutical preparations
310,UNISON,México,"Blvd. Luis Encinas J, Calle Av. Rosales &, Centro, 83000 Hermosillo, Son.",P- Education,UNISON,modulo solar,modulo solar,2018-01-01,various collector,"MS 2.5 BLUE, SPO1500, ECOSUN",254.0,230.0,177.8,Water/Glycol,No Solar Energy Storage,,Hot water boiler,Natural gas,preheat of water,General process heating,A1) Heating of make-up water,50-70,50-80,90000.0,No Subsidies,25,354.33,55,,,,P- Education
311,University of Sevilla,Spain,"Camino de los Descubriientos, Sevilla, Spain",P- Education,University of Sevilla,industrial solar (formerly pse ag),delegated by customer (axima suez),2008-01-01,fresnel collector,LF-11,493.0,352.0,198.0,water,,,Hot water boiler,Natural gas,refrigeration,cooling processes,B1) Heating of process(es) / process vessel(s),7°C/15°C,165°,1.0,,,0.0,,,,,P- Education
312,"Viessmann, Faulquemont",France,Faulquemont,"C25 - Manufacture of fabricated metal products, except machinery and equipment",Viessmann,viessmann,viessmann,,evacuated tube collector,,180.0,,126.0,water/glycol,,20.0,,,heating up an alkaline cleaning bath,other process heating,C) Other integration points (please specify),up to 60 °C,90,1.0,1,,0.01,,,IEA - Task 49,info-at@viessmann.com,"C25 - Manufacture of fabricated metal products, except machinery and equipment"
313,Wheels India,India,"Wheels India Limited, Jawaharlal Nehru Rd, Korattur, Chennai, Tamil Nadu, India",C28 - Manufacture of machinery and equipment n.e.c.,Aspiration Energy (ESCO),aspiration energy,aspiration energy,2012-01-01,evacuated tube collector,,1365.0,,955.5,,,,,,the solarheated water at 75 °c is used to degrease the wheels prior to final painting,Painting,B1) Heating of process(es) / process vessel(s),,B1) Heating of process(es) / process vessel(s),176829.0,79268,,129.55,,AEE INTEC,w.glatzl@aee.at,http://www.aspirationenergy.co.in,C28 - Manufacture of machinery and equipment n.e.c.
314,Wien Energie - Power Plant Simmering,Austria,"Erste Haidequerstrae 1, 1110 Wien","D - Electricity, gas, steam and air conditioning supply",Wien Energie GmbH,greenonetec solaindustrie gmbh,greenonetec solaindustrie gmbh,2018-01-01,flat plate collector,GK3003-S,656.0,615.0,459.2,water/glycol,no solar energy storage,,chp plant,,heating of makeup water,other process heating,A1) Heating of make-up water,,,1.0,1,,0.0,,Due to the collector design and the concept of the expension system the solar system can handle unforeseen surplus heat without any problems,Sebastian Schramm,sebastian.schramm@greenonetec.com,"D - Electricity, gas, steam and air conditioning supply"
